country,happiness_score,gdp_per_capita_eur,population,currency_code,exchange_rate_eur,cluster
Grenada,,10915.226495080831,112519.0,XCD,0.33940656120399726,
Switzerland,7.48,81237.79817997829,8654622.0,CHF,1.0411059877128672,1.0
Sierra Leone,4.374,494.1057694103725,7976985.0,SLL,4.380479997231873e-05,2.0
Hungary,5.758,16509.853368128024,9749763.0,HUF,0.0024995682745676167,0.0
Taiwan,6.446,,23503349.0,TWD,0.02791126027881004,
Barbados,,18126.39410378918,287371.0,BBD,0.45463968895371043,
Ivory Coast,4.944,2228.811612662314,26378275.0,XOF,0.0015299659576148573,2.0
Tunisia,4.461,3282.761988246003,11818618.0,TND,0.29846380678647,2.0
Italy,6.223,33603.84892960128,59554023.0,,1.0,1.0
Benin,4.883,1187.0390217993636,12123198.0,XOF,0.0015299659576148573,2.0
Indonesia,5.192,4091.75184454362,273523621.0,IDR,5.5840963485023054e-05,0.0
Cape Verde,,3564.547689878199,555988.0,CVE,0.009045449130519771,
Saint Kitts and Nevis,,19758.471067077757,53192.0,XCD,0.33940656120399726,
Laos,4.796,2497.9313097170857,7275556.0,LAK,4.2400722218116055e-05,2.0
Uganda,4.189,751.7813227957413,45741000.0,UGX,0.000250315767583544,2.0
Andorra,,40821.30313854915,77265.0,,1.0,
Burundi,3.775,253.33364410630386,11890781.0,BIF,0.00031538712450268364,2.0
South Africa,4.722,5925.466390186666,59308690.0,ZAR,0.05007745479933813,2.0
France,6.592,40294.62128114161,67391582.0,,1.0,1.0
Libya,5.525,7578.820524888569,6871287.0,LYD,0.19050888542967087,0.0
Mexico,6.595,9759.248040914787,128932753.0,MXN,0.045474099317251875,0.0
Gabon,4.799,7484.2749105011935,2225728.0,XAF,0.0015299659576148573,2.0
North Macedonia,5.274,4920.621832892662,2077132.0,MKD,0.016292527508832953,0.0
China,5.191,14200.006846813949,1402112000.0,CNY,0.12691130004255335,0.0
Yemen,3.38,902.3815161338603,29825968.0,YER,0.003723150740440114,2.0
Solomon Islands,,2074.7122866069376,686878.0,SBD,0.10836616015239749,
Uzbekistan,6.174,1692.0192170787318,34232050.0,UZS,7.10351438627168e-05,0.0
Egypt,4.166,2962.592429429622,102334403.0,EGP,0.018119689719158037,2.0
Senegal,4.681,1408.1571083968936,16743930.0,XOF,0.0015299659576148573,2.0
Sri Lanka,4.366,3832.6923562206307,21919000.0,LKR,0.003108747419914509,2.0
Palestine,4.696,,4803269.0,EGP,0.018119689719158037,
Bangladesh,4.456,1837.2238004619885,164689383.0,BDT,0.007554668318520077,2.0
Peru,5.697,6880.053085896374,32971846.0,PEN,0.2506086029923669,0.0
Singapore,6.262,65437.06592379938,5685807.0,SGD,0.6904050951896025,1.0
Turkey,5.373,8944.985224972907,84339067.0,TRY,0.02510580716902349,0.0
Afghanistan,3.203,474.94263007669605,40218234.0,AFN,0.01296697866816603,2.0
United Kingdom,7.054,42060.56476903255,67215293.0,GBP,1.1909781026766042,1.0
Zambia,4.107,1254.611490910879,18383956.0,ZMW,0.03213981178090586,2.0
Finland,7.769,48594.26077604015,5530719.0,,1.0,1.0
Niger,4.628,534.0744215759678,24206636.0,XOF,0.0015299659576148573,2.0
Guinea-Bissau,,681.0928725537323,1967998.0,XOF,0.0015299659576148573,
Azerbaijan,5.208,3877.9970477094425,10110116.0,AZN,0.5400002484001143,0.0
Djibouti,,3359.0178552270136,988002.0,DJF,0.0051686195184263845,
North Korea,,1245.2085171486742,25778815.0,KPW,0.0010205800737302765,
Mauritius,5.888,11203.28389479672,1265740.0,MUR,0.02038538987261985,0.0
Colombia,6.125,6363.688192438149,50882884.0,COP,0.00022362408493633822,0.0
Greece,5.287,19583.948659000114,10715549.0,,1.0,1.0
Croatia,5.432,14927.740916930223,4047200.0,,1.0,1.0
Morocco,5.208,3216.5669128058157,36910558.0,MAD,0.09497571803304908,0.0
Algeria,5.211,3802.8688232214763,44700000.0,DZD,0.00689479697453275,0.0
Netherlands,7.488,54579.81302253948,16655799.0,,1.0,1.0
Sudan,,431.0741069822623,43849269.0,SDG,0.0015294086580270717,
Fiji,,6175.008112051617,896444.0,FJD,0.40048185977367967,
Liechtenstein,,171824.17964181767,38137.0,CHF,1.0411059877128672,
Nepal,4.913,1051.6382097860549,29136808.0,NPR,0.00658213944623118,2.0
Georgia,4.519,4777.381736672051,3714000.0,GEL,0.33101567193698783,2.0
Pakistan,5.653,1378.04693636014,220892331.0,PKR,0.0032763978605672406,0.0
Monaco,,183081.34219243706,39244.0,,1.0,
Botswana,3.488,7799.079695529687,2351625.0,BWP,0.06696279399847298,2.0
Lebanon,5.197,7818.840490037129,6825442.0,LBP,1.0257504171677428e-05,0.0
Papua New Guinea,,2790.8277727338923,8947027.0,PGK,0.22530489384759925,
Dominican Republic,5.425,8198.938546838173,10847904.0,DOP,0.014649940692645093,0.0
Qatar,6.374,63680.10690197358,2881060.0,QAR,0.25232218414119745,1.0
Madagascar,3.933,508.60917602923894,27691019.0,MGA,0.0001973618713652123,2.0
India,4.015,1892.0229735356963,1380004385.0,INR,0.01053635971300642,2.0
Syria,3.462,2308.7708082616555,17500657.0,SYP,7.064638296222515e-05,2.0
Montenegro,5.523,8837.98908990893,621718.0,,1.0,1.0
Eswatini,4.212,3267.9038032554017,1160164.0,SZL,0.0504782511426257,2.0
Paraguay,5.743,5348.072695102579,7132530.0,PYG,0.00011579852934008014,0.0
El Salvador,6.253,4166.173697053175,6486201.0,USD,0.9185646508765404,1.0
Ukraine,4.332,3484.357965693791,44134693.0,UAH,0.022193202390776046,2.0
Namibia,4.639,4866.956530243424,2540916.0,NAD,0.0504782511426257,2.0
United Arab Emirates,6.825,42580.91360693197,9890400.0,AED,0.2501027922476138,1.0
Bulgaria,5.011,12414.67079180193,6927288.0,BGN,0.5121675648378529,0.0
Germany,6.985,46199.01220978604,83240525.0,,1.0,1.0
Cambodia,4.7,1620.278531914434,16718971.0,KHR,0.00022933850127647643,2.0
Iraq,4.437,5819.977014831722,40222503.0,IQD,0.0007015389874034522,2.0
Sweden,7.343,51271.15298834919,10353442.0,SEK,0.09104456522214145,1.0
Cuba,,8830.792886419033,11326616.0,CUC,0.9185646508765404,
Kyrgyzstan,5.261,1282.6354159839796,6591600.0,KGS,0.010478196272396345,0.0
Russia,5.648,11796.17245307003,144104080.0,RUB,0.010781558635592893,0.0
Malaysia,5.339,11268.044871905387,32365998.0,MYR,0.20809770603493752,0.0
Cyprus,6.046,20345.735811410173,1207361.0,,1.0,1.0
Canada,7.278,45689.11341957653,38005238.0,CAD,0.6392995322884623,1.0
Malawi,3.41,400.7696007125997,19129955.0,MWK,0.0005297981645204047,2.0
Saudi Arabia,6.375,22777.327154205534,34813867.0,SAR,0.24493300959721012,0.0
Bosnia and Herzegovina,5.386,6110.630570452769,3280815.0,BAM,0.5116288112509222,0.0
Ethiopia,4.286,835.9835340031112,114963583.0,ETB,0.0071095091775445355,2.0
Spain,6.354,29441.819966992854,47351567.0,,1.0,1.0
Slovenia,6.118,25589.96913375674,2100126.0,,1.0,1.0
Oman,,15075.150447399476,5106622.0,OMR,2.3860198325968485,
San Marino,,48262.450173846424,33938.0,,1.0,
Lesotho,3.802,1148.3581035284365,2142252.0,LSL,0.0504782511426257,2.0
Marshall Islands,,3738.1829239449944,59194.0,USD,0.9185646508765404,
Iceland,7.494,66010.87736644606,366425.0,ISK,0.006827382476390894,1.0
Luxembourg,7.09,112458.84956387647,632275.0,,1.0,1.0
Argentina,6.086,9909.55319915614,45376763.0,ARS,0.000861802187220858,0.0
Nauru,,12276.167620454125,10834.0,AUD,0.5799774388776276,
Dominica,,8279.275645566808,71991.0,XCD,0.33940656120399726,
Costa Rica,7.167,12126.53351966603,5094114.0,CRC,0.0018357397678802523,0.0
Australia,7.228,54217.244770582955,25687041.0,AUD,0.5799774388776276,1.0
Thailand,6.008,7788.684061848845,69799978.0,THB,0.02720824422860084,0.0
Haiti,3.597,745.3591075772374,11402533.0,HTG,0.006968437306401568,2.0
Tuvalu,,4008.773999321574,11792.0,AUD,0.5799774388776276,
Honduras,5.86,2533.7091053982144,9904608.0,HNL,0.035892493225022706,0.0
Equatorial Guinea,,7859.510219282459,1402985.0,XAF,0.0015299659576148573,
Saint Lucia,,11558.362949207369,183629.0,XCD,0.33940656120399726,
Belarus,5.323,6711.50015124173,9398861.0,BYN,0.28049381497113296,0.0
Latvia,5.94,17941.80454818916,1901548.0,,1.0,1.0
Palau,,15697.263984081363,18092.0,USD,0.9185646508765404,
Philippines,5.631,3438.5086502839426,109581085.0,PHP,0.016002349144854464,0.0
Denmark,7.6,59690.259577967845,5831404.0,DKK,0.13403828535544607,1.0
Cameroon,5.044,1460.132057973325,26545864.0,XAF,0.0015299659576148573,2.0
Guinea,4.534,1034.8356852830684,13132792.0,GNF,0.00010629721898655022,2.0
Bahrain,6.199,22669.519587936644,1701583.0,BHD,2.437039094981162,1.0
